"p","influenced"
"http://dbpedia.org/resource/Gorgias","http://rdf.freebase.com/ns/m.0p7d0"
"http://dbpedia.org/resource/Northrop_Frye","http://rdf.freebase.com/ns/m.0myp_"
"http://dbpedia.org/resource/Abul_A'la_Maududi","http://rdf.freebase.com/ns/m.03ymgq"
"http://dbpedia.org/resource/Abul_Hasan_Ali_Hasani_Nadwi","http://rdf.freebase.com/ns/m.026f_my"
"http://dbpedia.org/resource/Carl_Cohen","http://rdf.freebase.com/ns/m.0gvbtz"
"http://dbpedia.org/resource/Cl%C3%A9ment_Rosset","http://rdf.freebase.com/ns/m.027jnch"
"http://dbpedia.org/resource/Etienne_Vermeersch","http://rdf.freebase.com/ns/m.02q8dsj"
"http://dbpedia.org/resource/Fethullah_G%C3%BClen","http://rdf.freebase.com/ns/m.04pl6c"
"http://dbpedia.org/resource/Jason_Silva","http://rdf.freebase.com/ns/m.027_bzb"
"http://dbpedia.org/resource/Jawdat_Said","http://rdf.freebase.com/ns/m.026gwhx"
"http://dbpedia.org/resource/Mujtaba_Musavi_Lari","http://rdf.freebase.com/ns/m.0ksvy8"
"http://dbpedia.org/resource/Qalandar_Baba_Auliya","http://rdf.freebase.com/ns/m.026_mg_"
"http://dbpedia.org/resource/Susan_Neiman","http://rdf.freebase.com/ns/m.02ptt4_"
"http://dbpedia.org/resource/Laurence_A._Rickels","http://rdf.freebase.com/ns/m.03hn44b"
"http://dbpedia.org/resource/Philippe_Descola","http://rdf.freebase.com/ns/m.04053hc"
"http://dbpedia.org/resource/Tahir_Allauddin_Al-Qadri_Al-Gillani","http://rdf.freebase.com/ns/m.03hhjy9"
"http://dbpedia.org/resource/Jeff_Stilwell","http://rdf.freebase.com/ns/m.0cc8c4q"
"http://dbpedia.org/resource/Ljubodrag_Simonovi%C4%87","http://rdf.freebase.com/ns/m.0b76d13"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://rdf.freebase.com/ns/m.0dlk_3s"
"http://dbpedia.org/resource/R._A._W._Rhodes","http://rdf.freebase.com/ns/m.0by0lp_"
"http://dbpedia.org/resource/Taha_Abdurrahman","http://rdf.freebase.com/ns/m.09v9v5y"
"http://dbpedia.org/resource/Tim_Lewens","http://rdf.freebase.com/ns/m.0crh0jx"
"http://dbpedia.org/resource/Vivian_Cook_(academic)","http://rdf.freebase.com/ns/m.05w3x87"
"http://dbpedia.org/resource/Dorothy_Edgington","http://rdf.freebase.com/ns/m.04blt5"
"http://dbpedia.org/resource/Felix_S._Cohen","http://rdf.freebase.com/ns/m.04f5hb"
"http://dbpedia.org/resource/Nimbarka","http://rdf.freebase.com/ns/m.04g1_d"
"http://dbpedia.org/resource/Richard_Mouw","http://rdf.freebase.com/ns/m.05wxjr7"
"http://dbpedia.org/resource/Atiyya_ibn_Sa'd","http://rdf.freebase.com/ns/m.047jdy"
"http://dbpedia.org/resource/Anine_Kierulf","http://rdf.freebase.com/ns/m.09ghrb4"
"http://dbpedia.org/resource/Jennifer_Lackey","http://rdf.freebase.com/ns/m.0c3s44_"
"http://dbpedia.org/resource/Ahamed_Mohiyudheen_Noorishah_Jeelani","http://rdf.freebase.com/ns/m.064nc5h"
"http://dbpedia.org/resource/Ahmad_Sirhindi","http://rdf.freebase.com/ns/m.07fl2y"
"http://dbpedia.org/resource/Jaegwon_Kim","http://rdf.freebase.com/ns/m.07dkzy"
"http://dbpedia.org/resource/Bannanje_Govindacharya","http://rdf.freebase.com/ns/m.026k37d"
"http://dbpedia.org/resource/Ibn_Ma%E1%B8%8D%C4%81%CA%BE","http://rdf.freebase.com/ns/m.03qjbhk"
"http://dbpedia.org/resource/Sarfaraz_Khan_Safdar","http://rdf.freebase.com/ns/m.0gffqt8"
"http://dbpedia.org/resource/Alvin_Plantinga","http://rdf.freebase.com/ns/m.0m6yd"
"http://dbpedia.org/resource/Antisthenes","http://rdf.freebase.com/ns/m.0p765"
"http://dbpedia.org/resource/Antonio_Gramsci","http://rdf.freebase.com/ns/m.0fkyd"
"http://dbpedia.org/resource/Apollonius_of_Tyana","http://rdf.freebase.com/ns/m.0hph2"
"http://dbpedia.org/resource/Averroes","http://rdf.freebase.com/ns/m.0cvlw"
"http://dbpedia.org/resource/Bob_Black","http://rdf.freebase.com/ns/m.0ffzr"
"http://dbpedia.org/resource/Bruno_Bauer","http://rdf.freebase.com/ns/m.0jnsf"
"http://dbpedia.org/resource/Crates_of_Thebes","http://rdf.freebase.com/ns/m.0krkh"
"http://dbpedia.org/resource/Emmanuel_Levinas","http://rdf.freebase.com/ns/m.0mj3d"
"http://dbpedia.org/resource/Franz_Brentano","http://rdf.freebase.com/ns/m.0l235"
"http://dbpedia.org/resource/Girolamo_Savonarola","http://rdf.freebase.com/ns/m.0d8wb"
"http://dbpedia.org/resource/Gottlob_Frege","http://rdf.freebase.com/ns/m.0cz35"
"http://dbpedia.org/resource/Hannah_Arendt","http://rdf.freebase.com/ns/m.0nk72"
