no,fb1,fb2,name_x,phil_x,writ_x,name_y,phil_y,writ_y
0,/m/015n8,/m/0jcx,Baruch Spinoza,1.0,,Albert Einstein,1.0,1.0
1,/m/01b0x,/m/015v8f,Blaise Pascal,1.0,1.0,Alexis de Tocqueville,,
2,/m/023dv,/m/0q8r,Charles Lyell,,,Alfred Russel Wallace,,
3,/m/0147q0,/m/0m3n,Comte de Lautréamont,,1.0,André Gide,,1.0
4,/m/0c1fs,/m/0hky,D. H. Lawrence,,1.0,Aldous Huxley,,1.0
5,/m/0kwwk,/m/0mr2,François Rabelais,,1.0,Aleister Crowley,,1.0
6,/m/037jz,/m/0ldd,G. K. Chesterton,1.0,1.0,Agatha Christie,,1.0
7,/m/0379s,/m/0kngn,Gustave Flaubert,,1.0,Alphonse Daudet,,1.0
8,/m/0379s,/m/0zm1,Gustave Flaubert,,1.0,Anton Chekhov,,
9,/m/036_y,/m/0zm1,Guy de Maupassant,,1.0,Anton Chekhov,,
10,/m/01h_gy,/m/01dv87,,,,,,
11,/m/03j7p,/m/0m3n,Henry Fielding,,,André Gide,,1.0
12,/m/018q8v,/m/0zm1,Ivan Turgenev,,1.0,Anton Chekhov,,
13,/m/0gkv8,/m/0k_s,Joel Chandler Harris,,1.0,A. A. Milne,,
14,/m/042q3,/m/0m3n,Johann Wolfgang von Goethe,1.0,1.0,André Gide,,1.0
15,/m/015r88,/m/0tfc,Joseph Butler,1.0,,Adam Smith,1.0,
16,/m/0k8wj,/m/05b27c,Luís de Camões,,,Almeida Garrett,,1.0
17,/m/07d6q,/m/0hky,Thomas Henry Huxley,,,Aldous Huxley,,1.0
18,/m/07kwl,/m/0gzh,Thomas Paine,,,Abraham Lincoln,,
19,/m/011zsy,/m/031wp8,William Godwin,1.0,1.0,Herbert Read,,
20,/m/01yfj1,/m/0tfc,William Petty,1.0,,Adam Smith,1.0,
21,/m/01kdw9,/m/02xb9k,Zhu Xi,1.0,,Wang Yangming,1.0,
22,/m/04jwp,/m/0w6d,George Gordon Byron,,,Anne Brontë,,1.0
23,/m/01hkr,/m/04ql_7,Benjamin Tucker,1.0,,,,
24,/m/01cwvn,/m/0bwpg,Gustav Fechner,,,Alfred North Whitehead,1.0,
25,/m/015yk8,/m/0jcx,Karl Pearson,,1.0,Albert Einstein,1.0,1.0
26,/m/0cpvcd,/m/080lps,Ludwig von Mises,1.0,,,,
27,/m/019sh3,/m/0tfc,Francis Hutcheson,1.0,,Adam Smith,1.0,
28,/m/02f41p,/m/034bs_,,,,Mary Wigman,,
29,/m/014ghf,/m/0tfc,,,,Adam Smith,1.0,
30,/m/012km4,/m/0hky,Julian Huxley,,,Aldous Huxley,,1.0
31,/m/013wgy,/m/07_5_m,Paracelsus,,1.0,Franciscus Sylvius,,
32,/m/015ymr,/m/07y4mr,Odilon Redon,,,,,
33,/m/0dgqvpp,/m/0m3n,,,,André Gide,,1.0
34,/m/05wk13x,/m/0bwpg,Samuel Alexander,1.0,,Alfred North Whitehead,1.0,
35,/m/0c3z5tx,/m/033c9x,,,,Jayakanthan,,1.0
36,/m/05l5s0,/m/032f9n,David Smith,,,Anthony Caro,,
37,/m/030djp,/m/030gkd,Ilya Repin,,,,,
38,/m/02qjjq,/m/0tfc,Bernard Mandeville,1.0,,Adam Smith,1.0,
39,/m/01thjq,/m/0hky,Nikolai Berdyaev,1.0,,Aldous Huxley,,1.0
40,/m/01x9sk,/m/07_5_m,Jan Baptist van Helmont,,,Franciscus Sylvius,,
41,/m/02py69v,/m/0zm1,Gleb Uspensky,,1.0,Anton Chekhov,,
42,/m/02z9h_7,/m/017qy4,William Cleghorn,1.0,,Adam Ferguson,1.0,
43,/m/070mww,/m/04qj_c,Antoni Lange,1.0,1.0,,,
44,/m/03l6h,/m/0bwpg,Heraclitus,1.0,,Alfred North Whitehead,1.0,
45,/m/07r3d,/m/0q8r,Thomas Robert Malthus,,,Alfred Russel Wallace,,
46,/m/088k4,/m/0hky,Yevgeny Zamyatin,,,Aldous Huxley,,1.0
47,/m/03dpcd,/m/04lkcz,William Eggleston,,,,,
48,/m/09chk3,/m/04krnz,Josip Murn,,,Srečko Kosovel,,
49,/m/0dt1xz,/m/0mr2,Karl von Eckartshausen,,,Aleister Crowley,,1.0
50,/m/03mckwh,/m/04krnz,Dragotin Kette,,,Srečko Kosovel,,
51,/m/019h1v,/m/030g0n,,,,Michael Freedman,,
52,/m/02zpt0,/m/07xj3r,Graham Sutherland,,,,,
53,/m/06xklh,/m/07w1xr,Stuart Dybek,,1.0,Dan Chaon,,1.0
54,/m/08hd3x,/m/02zng2,Juan Donoso Cortés,1.0,1.0,Georges Sorel,1.0,1.0
55,/m/01_bpb,/m/07xdnk,Leconte de Lisle,,,,,
56,/m/01_bpb,/m/0m34,Leconte de Lisle,,,Anatole France,,1.0
57,/m/03c6ht,/m/0zm1,Nikolai Leskov,,1.0,Anton Chekhov,,
58,/m/05x1vk,/m/0b3pq,Emer de Vattel,,,Alexander Hamilton,,
59,/m/03hl6_,/m/02xnkt,,,,,,
60,/m/0d7t6,/m/02zng2,Pierre-Joseph Proudhon,1.0,,Georges Sorel,1.0,1.0
61,/m/05f5ykq,/m/04hz79,Yadin Dudai,,,Seymour Benzer,,
62,/m/0ks242,/m/03dcm0,Jacques Rivière,,,Alain-Fournier,,
63,/m/04b2f0,/m/02z1q5,Kenneth Waltz,1.0,,Joseph Nye,,
64,/m/01g63h,/m/0344fz,James Gregory,,,David Gregory,,
65,/m/01dfd4,/m/0jcx,Moritz Schlick,1.0,,Albert Einstein,1.0,1.0
66,/m/0pb8pcz,/m/030jsv,,,,,,
67,/m/0cmd2,/m/0tfc,,,,Adam Smith,1.0,
68,/m/0cdfl,/m/01cfs_,Swami Vivekananda,1.0,,Annie Besant,,1.0
69,/m/0slqn,/m/031wp8,Max Stirner,1.0,,Herbert Read,,
70,/m/0sgdycm,/m/0329q6,,,,Jeff Wall,,
71,/m/0278ms_,/m/0329q6,,,,Jeff Wall,,
72,/m/05yhvj,/m/0lwb,Aesop,,1.0,Aristophanes,,
73,/m/05yhvj,/m/0gz_,Aesop,,1.0,Aristotle,1.0,1.0
74,/m/0bwpg,/m/01bpn,Alfred North Whitehead,1.0,,Bertrand Russell,1.0,1.0
75,/m/015n8,/m/0j3v,Baruch Spinoza,1.0,,Arthur Schopenhauer,1.0,
