name,freebase_id,yob
b'Baruch Spinoza',/m/015n8,1632
b'Albert Einstein',/m/0jcx,1879
b'Blaise Pascal',/m/01b0x,1623
b'Alexis de Tocqueville',/m/015v8f,1805
b'G. K. Chesterton',/m/037jz,1874
b'Johann Wolfgang von Goethe',/m/042q3,1749
b'Joseph Butler',/m/015r88,1692
b'Adam Smith',/m/0tfc,1723
b'Thomas Paine',/m/07kwl,1737
b'William Godwin',/m/011zsy,1756
b'William Petty',/m/01yfj1,1623
b'Zhu Xi',/m/01kdw9,1130
b'Wang Yangming',/m/02xb9k,1472
b'Benjamin Tucker',/m/01hkr,1854
b'Alfred North Whitehead',/m/0bwpg,1861
b'Ludwig von Mises',/m/0cpvcd,1881
b'Francis Hutcheson',/m/019sh3,1694
b'Paracelsus',/m/013wgy,1493
b'Samuel Alexander',/m/05wk13x,1859
b'Bernard Mandeville',/m/02qjjq,1670
b'Nikolai Berdyaev',/m/01thjq,1874
b'William Cleghorn',/m/02z9h_7,1718
b'Adam Ferguson',/m/017qy4,1723
b'Antoni Lange',/m/070mww,1863
b'Heraclitus',/m/03l6h,-534
b'Juan Donoso Cort\xc3\xa9s',/m/08hd3x,1809
b'Georges Sorel',/m/s02zng2,1847
b'Emer de Vattel',/m/05x1vk,1714
b'Pierre-Joseph Proudhon',/m/0d7t6,1809
b'Kenneth Waltz',/m/04b2f0,1924
b'Moritz Schlick',/m/01dfd4,1882
b'Swami Vivekananda',/m/0cdfl,1863
b'Max Stirner',/m/0slqn,1806
b'Aristotle',/m/0gz_,-383
b'Bertrand Russell',/m/01bpn,1872
b'Arthur Schopenhauer',/m/0j3v,1788
b'Denis Diderot',/m/028xm,1713
"b""Baron d'Holbach""",/m/01btgd,1723
b'George Berkeley',/m/034ms,1685
b'George Santayana',/m/018wj9,1863
b'Giacomo Leopardi',/m/0c8cl,1798
b'Herbert Spencer',/m/01kznw,1820
b'Ayn Rand',/m/0h25,1905
b'John Stuart Mill',/m/03_hd,1806
b'Apuleius',/m/0t6h,0125
b'Ludwig Wittgenstein',/m/04hcw,1889
b'Niccol\xc3\xb2 Machiavelli',/m/05cvs,1469
b'Ren\xc3\xa9 Descartes',/m/06csk,1596
b'Jakob B\xc3\xb6hme',/m/02by2w,1575
b'Giambattista Vico',/m/015_hb,1668
b'Benedetto Croce',/m/037c7x,1866
b'Zeno of Elea',/m/01236p,-489
b'Otto Weininger',/m/01ckkq,1880
b'Isabel Paterson',/m/04zks3,1886
b'Baltasar Graci\xc3\xa1n',/m/04qrrt,1601
b'Antonio Labriola',/m/07m56m,1843
b'Democritus',/m/0290q,-460
b'Maimonides',/m/04xk5,1135
b'Parmenides',/m/05w9g,-500
b'Augustine of Hippo',/m/0w6w,0354
b'Ibn Tufail',/m/046bnx,1110
b'Giovanni Gentile',/m/03blcp,1875
b'Giordano Bruno',/m/03d8f,1548
b'Thomas Reid',/m/07bvs,1710
b'Averroes',/m/0cvlw,1126
b'C. S. Lewis',/m/01wd02c,1898
b'Michel de Montaigne',/m/0c2cl,1533
b'William James',/m/0mj0c,1842
b'Alexius Meinong',/m/0247kx,1853
b'Hermann Lotze',/m/01b5b6,1817
b'Joseph de Maistre',/m/01f6vp,1753
b'Christoph von Sigwart',/m/03lr9f,1830
b'G. E. Moore',/m/034n8,1873
b'Giuseppe Peano',/m/03dyg,1858
b'Gottfried Wilhelm von Leibniz',/m/0372p,1646
b'Owen Barfield',/m/02tp7c,1898
b'Richard McKeon',/m/0bbm0m,1900
b'Damaris Cudworth Masham',/m/058sj2,1659
b'Antero de Quental',/m/0373rz,1842
b'Fernando Pessoa',/m/03145,1888
b'Ernst Haeckel',/m/02mtv,1834
b'David Hume',/m/026lj,1711
b'Edmund Burke',/m/02qr0,1729
b'Henry David Thoreau',/m/0bwx3,1817
b'Emma Goldman',/m/02nmr,1869
b'Peter Kropotkin',/m/0dgq9,1842
