name,freebase_id,dob
Baruch Spinoza,/m/015n8,1632-11-24T00:00:00Z
Albert Einstein,/m/0jcx,1879-03-14T00:00:00Z
Blaise Pascal,/m/01b0x,
Alexis de Tocqueville,/m/015v8f,1805-07-29T00:00:00Z
G. K. Chesterton,/m/037jz,1874-05-29T00:00:00Z
Johann Wolfgang von Goethe,/m/042q3,1749-08-28T00:00:00Z
Joseph Butler,/m/015r88,1692-05-18T00:00:00Z
Adam Smith,/m/0tfc,1723-06-05T00:00:00Z
Thomas Paine,/m/07kwl,1737-01-29T00:00:00Z
William Godwin,/m/011zsy,1756-03-03T00:00:00Z
William Petty,/m/01yfj1,1623-05-26T00:00:00Z
Zhu Xi,/m/01kdw9,1130-10-25T00:00:00Z
Wang Yangming,/m/02xb9k,1472-11-09T00:00:00Z
Benjamin Tucker,/m/01hkr,1854-04-17T00:00:00Z
Alfred North Whitehead,/m/0bwpg,1861-02-15T00:00:00Z
Ludwig von Mises,/m/0cpvcd,1881-09-29T00:00:00Z
Francis Hutcheson,/m/019sh3,1694-08-08T00:00:00Z
Paracelsus,/m/013wgy,1493-11-19T00:00:00Z
Samuel Alexander,/m/05wk13x,1859-01-06T00:00:00Z
Bernard Mandeville,/m/02qjjq,1670-11-15T00:00:00Z
Nikolai Berdyaev,/m/01thjq,1874-03-18T00:00:00Z
William Cleghorn,/m/02z9h_7,
Adam Ferguson,/m/017qy4,1723-06-20T00:00:00Z
Antoni Lange,/m/070mww,1863-01-01T00:00:00Z
Heraclitus,/m/03l6h,-534-01-01T00:00:00Z
Juan Donoso Cortés,/m/08hd3x,1809-05-06T00:00:00Z
Georges Sorel,/m/02zng2,1847-11-02T00:00:00Z
Emer de Vattel,/m/05x1vk,1714-04-25T00:00:00Z
Pierre-Joseph Proudhon,/m/0d7t6,1809-01-15T00:00:00Z
Kenneth Waltz,/m/04b2f0,1924-06-08T00:00:00Z
Moritz Schlick,/m/01dfd4,1882-04-14T00:00:00Z
Swami Vivekananda,/m/0cdfl,1863-01-12T00:00:00Z
Max Stirner,/m/0slqn,1806-10-25T00:00:00Z
Aristotle,/m/0gz_,-383-01-01T00:00:00Z
Bertrand Russell,/m/01bpn,1872-05-18T00:00:00Z
Arthur Schopenhauer,/m/0j3v,1788-02-22T00:00:00Z
Denis Diderot,/m/028xm,1713-10-05T00:00:00Z
Baron d'Holbach,/m/01btgd,1723-12-08T00:00:00Z
George Berkeley,/m/034ms,1685-03-12T00:00:00Z
George Santayana,/m/018wj9,1863-12-16T00:00:00Z
Giacomo Leopardi,/m/0c8cl,1798-06-29T00:00:00Z
Herbert Spencer,/m/01kznw,1820-04-27T00:00:00Z
Ayn Rand,/m/0h25,1905-02-02T00:00:00Z
John Stuart Mill,/m/03_hd,1806-05-20T00:00:00Z
Apuleius,/m/0t6h,0125-01-01T00:00:00Z
Ludwig Wittgenstein,/m/04hcw,1889-04-26T00:00:00Z
