name,freebase_id,dob
b'Baruch Spinoza',/m/015n8,1632-11-24
b'Albert Einstein',/m/0jcx,1879-03-14
b'Blaise Pascal',/m/01b0x,1623-06-19
b'Alexis de Tocqueville',/m/015v8f,1805-07-29
b'G. K. Chesterton',/m/037jz,1874-05-29
b'Johann Wolfgang von Goethe',/m/042q3,1749-08-28
b'Joseph Butler',/m/015r88,1692-05-18
b'Adam Smith',/m/0tfc,1723-06-05
b'Thomas Paine',/m/07kwl,1737-01-29
b'William Godwin',/m/011zsy,1756-03-03
b'William Petty',/m/01yfj1,1623-05-26
b'Zhu Xi',/m/01kdw9,1130-10-25
b'Wang Yangming',/m/02xb9k,1472-11-09
b'Benjamin Tucker',/m/01hkr,1854-04-17
b'Alfred North Whitehead',/m/0bwpg,1861-02-15
b'Ludwig von Mises',/m/0cpvcd,1881-09-29
b'Francis Hutcheson',/m/019sh3,1694-08-08
b'Paracelsus',/m/013wgy,1493-11-19
b'Samuel Alexander',/m/05wk13x,1859-01-06
b'Bernard Mandeville',/m/02qjjq,1670-11-15
b'Nikolai Berdyaev',/m/01thjq,1874-03-18
b'William Cleghorn',/m/02z9h_7,1718
b'Adam Ferguson',/m/017qy4,1723-06-20
b'Antoni Lange',/m/070mww,1863-01-01
b'Heraclitus',/m/03l6h,-534-01-01
b'Juan Donoso Cort\xc3\xa9s',/m/08hd3x,1809-05-06
b'Georges Sorel',/m/02zng2,1847-11-02
b'Emer de Vattel',/m/05x1vk,1714-04-25
b'Pierre-Joseph Proudhon',/m/0d7t6,1809-01-15
b'Kenneth Waltz',/m/04b2f0,1924-06-08
b'Moritz Schlick',/m/01dfd4,1882-04-14
b'Swami Vivekananda',/m/0cdfl,1863-01-12
b'Max Stirner',/m/0slqn,1806-10-25
b'Aristotle',/m/0gz_,-383-01-01
b'Bertrand Russell',/m/01bpn,1872-05-18
b'Arthur Schopenhauer',/m/0j3v,1788-02-22
b'Denis Diderot',/m/028xm,1713-10-05
"b""Baron d'Holbach""",/m/01btgd,1723-12-08
b'George Berkeley',/m/034ms,1685-03-12
b'George Santayana',/m/018wj9,1863-12-16
b'Giacomo Leopardi',/m/0c8cl,1798-06-29
b'Herbert Spencer',/m/01kznw,1820-04-27
b'Ayn Rand',/m/0h25,1905-02-02
b'John Stuart Mill',/m/03_hd,1806-05-20
b'Apuleius',/m/0t6h,0125-01-01
b'Ludwig Wittgenstein',/m/04hcw,1889-04-26
b'Niccol\xc3\xb2 Machiavelli',/m/05cvs,1469-05-12
b'Ren\xc3\xa9 Descartes',/m/06csk,1596-03-31
b'Jakob B\xc3\xb6hme',/m/02by2w,1575-03-18
b'Giambattista Vico',/m/015_hb,1668-06-23
b'Benedetto Croce',/m/037c7x,1866-02-25
b'Zeno of Elea',/m/01236p,-489-01-01
b'Otto Weininger',/m/01ckkq,1880-04-03
b'Isabel Paterson',/m/04zks3,1886-01-22
b'Baltasar Graci\xc3\xa1n',/m/04qrrt,1601-01-08
b'Antonio Labriola',/m/07m56m,1843-07-02
b'Democritus',/m/0290q,-460-01-01
b'Maimonides',/m/04xk5,1135-01-01
b'Parmenides',/m/05w9g,-500-01-01
b'Augustine of Hippo',/m/0w6w,0354-11-14
b'Ibn Tufail',/m/046bnx,1110-01-01
b'Giovanni Gentile',/m/03blcp,1875-05-29
b'Giordano Bruno',/m/03d8f,1548-01-01
b'Thomas Reid',/m/07bvs,1710-04-26
b'Averroes',/m/0cvlw,1126-04-21
b'C. S. Lewis',/m/01wd02c,1898-11-29
b'Michel de Montaigne',/m/0c2cl,1533-03-10
b'William James',/m/0mj0c,1842-01-11
b'Alexius Meinong',/m/0247kx,1853-07-17
b'Hermann Lotze',/m/01b5b6,1817-05-21
b'Joseph de Maistre',/m/01f6vp,1753-04-01
b'Christoph von Sigwart',/m/03lr9f,1830-03-28
b'G. E. Moore',/m/034n8,1873-11-04
b'Giuseppe Peano',/m/03dyg,1858-08-27
b'Gottfried Wilhelm von Leibniz',/m/0372p,1646-07-11
b'Owen Barfield',/m/02tp7c,1898-11-09
b'Richard McKeon',/m/0bbm0m,1900-04-26
b'Damaris Cudworth Masham',/m/058sj2,1659-01-18
b'Antero de Quental',/m/0373rz,1842-04-18
b'Fernando Pessoa',/m/03145,1888-06-13
b'Ernst Haeckel',/m/02mtv,1834-02-16
b'David Hume',/m/026lj,1711-05-07
b'Edmund Burke',/m/02qr0,1729-01-12
b'Henry David Thoreau',/m/0bwx3,1817-07-12
b'Emma Goldman',/m/02nmr,1869-06-27
b'Peter Kropotkin',/m/0dgq9,1842-12-21
b'Nicolas Malebranche',/m/017h16,1638-08-06
b'Pyrrho',/m/011k9p,-358-01-01
b'Pierre Bayle',/m/01stjn,1647-11-18
b'Epicurus',/m/02q_8,-341-01-01
b'Marshall McLuhan',/m/04y4j,1918-07-21
b'Sextus Empiricus',/m/0182_n,0160-01-01
b'Epictetus',/m/02tkc,0050-01-01
b'Lev Shestov',/m/04_d1b,1866-02-13
b'Rudolf Christoph Eucken',/m/01h90j,1846-01-05
b'Karl Leonhard Reinhold',/m/04qpgj,1757-10-26
b'Friedrich Schiller',/m/0h336,1759-11-10
b'Friedrich Nietzsche',/m/02wh0,1844-10-15
b'Lysander Spooner',/m/0kmkv,1808-01-19
b'Francis Bacon',/m/030dr,1561-02-01
b'Ralph Waldo Emerson',/m/06jkm,1803-05-25
b'African Spir',/m/08nwqf,1837-11-15
b'Ludwig Feuerbach',/m/0182xl,1804-07-28
b'Friedrich Engels',/m/0cp8j,1820-11-28
b'Friedrich Albert Lange',/m/01qwjz,1828-09-28
b'Protagoras',/m/06035,-485-01-01
b'Auguste Comte',/m/0zz2v,1798-01-19
b'Bruno Bauer',/m/0jnsf,1809-09-06
