name,freebase_id,dob
Baruch Spinoza,/m/015n8,
Albert Einstein,/m/0jcx,
Blaise Pascal,/m/01b0x,
Alexis de Tocqueville,/m/015v8f,
G. K. Chesterton,/m/037jz,
Johann Wolfgang von Goethe,/m/042q3,
Joseph Butler,/m/015r88,
Adam Smith,/m/0tfc,
Thomas Paine,/m/07kwl,
William Godwin,/m/011zsy,
William Petty,/m/01yfj1,
Zhu Xi,/m/01kdw9,
Wang Yangming,/m/02xb9k,
Benjamin Tucker,/m/01hkr,
Alfred North Whitehead,/m/0bwpg,
Ludwig von Mises,/m/0cpvcd,
Francis Hutcheson,/m/019sh3,
Paracelsus,/m/013wgy,
Samuel Alexander,/m/05wk13x,
Bernard Mandeville,/m/02qjjq,
Nikolai Berdyaev,/m/01thjq,
William Cleghorn,/m/02z9h_7,
Adam Ferguson,/m/017qy4,
Antoni Lange,/m/070mww,
Heraclitus,/m/03l6h,
Juan Donoso Cortés,/m/08hd3x,
Georges Sorel,/m/02zng2,
Emer de Vattel,/m/05x1vk,
Pierre-Joseph Proudhon,/m/0d7t6,
Kenneth Waltz,/m/04b2f0,
Moritz Schlick,/m/01dfd4,
Swami Vivekananda,/m/0cdfl,
Max Stirner,/m/0slqn,
Aristotle,/m/0gz_,
Bertrand Russell,/m/01bpn,
Arthur Schopenhauer,/m/0j3v,
Denis Diderot,/m/028xm,
Baron d'Holbach,/m/01btgd,
George Berkeley,/m/034ms,
George Santayana,/m/018wj9,
Giacomo Leopardi,/m/0c8cl,
Herbert Spencer,/m/01kznw,
Ayn Rand,/m/0h25,
John Stuart Mill,/m/03_hd,
Apuleius,/m/0t6h,
Ludwig Wittgenstein,/m/04hcw,
Niccolò Machiavelli,/m/05cvs,
René Descartes,/m/06csk,
Jakob Böhme,/m/02by2w,
Giambattista Vico,/m/015_hb,
Benedetto Croce,/m/037c7x,
Zeno of Elea,/m/01236p,
Otto Weininger,/m/01ckkq,
Isabel Paterson,/m/04zks3,
Baltasar Gracián,/m/04qrrt,
Antonio Labriola,/m/07m56m,
Democritus,/m/0290q,
Maimonides,/m/04xk5,
Parmenides,/m/05w9g,
Augustine of Hippo,/m/0w6w,
Ibn Tufail,/m/046bnx,
Giovanni Gentile,/m/03blcp,
Giordano Bruno,/m/03d8f,
Thomas Reid,/m/07bvs,
Averroes,/m/0cvlw,
C. S. Lewis,/m/01wd02c,
Michel de Montaigne,/m/0c2cl,
William James,/m/0mj0c,
Alexius Meinong,/m/0247kx,
Hermann Lotze,/m/01b5b6,
Joseph de Maistre,/m/01f6vp,
Christoph von Sigwart,/m/03lr9f,
G. E. Moore,/m/034n8,
Giuseppe Peano,/m/03dyg,
Gottfried Wilhelm von Leibniz,/m/0372p,
Owen Barfield,/m/02tp7c,
Richard McKeon,/m/0bbm0m,
Damaris Cudworth Masham,/m/058sj2,
Antero de Quental,/m/0373rz,
Fernando Pessoa,/m/03145,
Ernst Haeckel,/m/02mtv,
David Hume,/m/026lj,
Edmund Burke,/m/02qr0,
Henry David Thoreau,/m/0bwx3,
Emma Goldman,/m/02nmr,
Peter Kropotkin,/m/0dgq9,
Nicolas Malebranche,/m/017h16,
Pyrrho,/m/011k9p,
Pierre Bayle,/m/01stjn,
Epicurus,/m/02q_8,
Marshall McLuhan,/m/04y4j,
